Key,SP,SPn,PE,DJ,DJn,Gold,Goldn,Oil,Oiln,Libor,SPYTD
63-03,538.35,66.57,17.9434,5519.54,682.52,285.55,35.31,24.02,2.97,0,0
63-02,521.65,64.29,17.3288,5379.1,662.94,286.51,35.31,24.1,2.97,0,0
63-01,537.15,66.2,17.8437,5540.64,682.85,286.51,35.31,24.1,2.97,0,0
79-01,360.85,99.93,7.5135,3030.42,839.22,820.89,227.33,53.62,14.85,0,0
63-07,555.46,69.13,17.4571,5587.78,695.43,283.72,35.31,23.86,2.97,0,0
63-06,559.19,69.37,18.0651,5698.16,706.88,284.63,35.31,23.94,2.97,0,0
63-05,572.56,70.8,18.4375,5878.93,726.96,285.55,35.31,24.02,2.97,0,0
63-04,564.47,69.8,18.1771,5804.04,717.7,285.55,35.31,24.02,2.97,0,0
51-02,209.24,21.8,7.7032,2419.18,252.05,335.93,35.0,24.67,2.57,0,0
17-10,2575.26,2575.26,0,23377.24,23377.24,1270.5,1270.5,54.38,54.38,40.059000000000005,312.64901757000007
51-03,204.61,21.4,7.5618,2370.55,247.94,334.64,35.0,24.57,2.57,0,0
91-04,684.62,375.34,19.3375,5267.47,2887.87,653.67,358.37,38.29,20.99,143.14,0
81-08,328.09,122.79,8.0413,2355.29,881.47,1097.95,410.91,96.19,36.0,0,0
45-03,189.01,13.64,14.2083,2139.66,154.41,485.0,35.0,0,0,0,0
45-02,198.16,14.3,14.8958,2222.66,160.4,485.0,35.0,0,0,0,0
45-01,186.65,13.47,14.0313,2129.41,153.67,485.0,35.0,0,0,0,0
91-05,709.1,389.83,20.084,5507.02,3027.5,649.33,356.97,38.49,21.16,139.01999999999995,0
45-07,199.79,14.66,14.8081,2219.73,162.88,476.98,35.0,0,0,0,0
45-06,203.87,14.96,14.96,2252.57,165.29,476.98,35.0,0,0,0,0
45-05,206.84,15.01,15.01,2319.17,168.3,482.3,35.0,0,0,0,0
45-04,205.64,14.84,14.84,2292.5,165.44,485.0,35.0,0,0,0,0
51-06,199.62,20.96,7.7059,2310.9,242.64,333.34,35.0,24.48,2.57,0,0
45-09,220.23,16.16,16.3232,2476.34,181.71,476.98,35.0,0,0,0,0
45-08,211.37,15.51,15.6667,2375.22,174.29,476.98,35.0,0,0,0,0
51-07,213.34,22.4,8.9243,2455.86,257.86,333.34,35.0,24.48,2.57,0,0
28-08,301.05,20.87,15.9313,3467.91,240.41,299.75,20.78,0,0,0,0
28-09,301.41,21.14,16.1374,3384.56,237.38,296.28,20.78,0,0,0,0
51-04,214.45,22.43,8.2463,2477.54,259.13,334.64,35.0,24.57,2.57,0,0
25-04,0,0,0,1721.06,120.01,297.58,20.75,0,0,0,0
04-05,1461.37,1120.68,19.9587,13285.74,10188.45,500.45,383.78,52.03,39.9,38.46,0
28-02,248.98,17.26,14.6271,2809.7,194.78,299.75,20.78,0,0,0,0
28-03,278.11,19.28,16.339,3093.44,214.45,299.75,20.78,0,0,0,0
01-01,1924.71,1366.01,30.0618,15340.29,10887.36,374.08,265.49,40.33,28.62,119.10000000000002,0
51-05,204.96,21.52,7.9118,2377.67,249.65,333.34,35.0,24.48,2.57,0,0
28-06,276.09,19.14,15.312,3034.59,210.37,299.75,20.78,0,0,0,0
28-07,280.28,19.43,14.8321,3115.8,216.0,299.75,20.78,0,0,0,0
28-04,284.89,19.75,15.8,3052.76,211.63,299.75,20.78,0,0,0,0
28-05,286.82,20.0,16.0,3152.3,219.81,298.01,20.78,0,0,0,0
87-10,538.58,251.79,14.388,4264.16,1993.53,996.11,465.69,42.69,19.96,196.42999999999998,0
99-12,2153.92,1469.25,30.5013,16854.78,11497.12,414.98,283.07,37.76,25.76,127.51,0
19-10,0,0,0,1620.64,118.92,272.97,20.03,0,0,0,0
49-07,156.54,15.04,6.2929,1830.98,175.92,331.81,31.88,26.75,2.57,0,0
49-06,146.15,14.16,5.9,1727.94,167.42,329.03,31.88,26.52,2.57,0,0
49-05,147.07,14.19,5.9125,1744.88,168.36,330.4,31.88,26.64,2.57,0,0
49-04,152.13,14.74,6.1417,1797.51,174.16,329.03,31.88,26.52,2.57,0,0
49-03,156.08,15.06,6.3277,1835.46,177.1,330.4,31.88,26.64,2.57,0,0
49-02,151.52,14.62,6.1429,1793.59,173.06,330.4,31.88,26.64,2.57,0,0
49-01,156.43,15.22,6.395,1841.0,179.12,327.66,31.88,26.41,2.57,0,0
87-11,492.15,230.3,13.16,3918.3,1833.55,1000.14,468.01,39.58,18.52,166.92,0
03-10,1400.6,1050.71,21.5574,13064.89,9801.12,505.1,378.92,38.98,29.24,32.3,0
04-03,1482.09,1126.21,21.6579,13630.73,10357.7,535.18,406.67,47.05,35.75,30.490000000000006,0
21-12,0,0,0,1152.05,80.8,295.0,20.69,0,0,0,0
49-09,160.8,15.58,6.5188,1883.69,182.51,329.03,31.88,26.52,2.57,0,0
49-08,157.74,15.22,6.3682,1851.63,178.66,330.4,31.88,26.64,2.57,0,0
67-10,682.86,93.3,17.5047,6438.82,879.74,258.43,35.31,22.47,3.07,0,0
67-11,686.01,94.0,17.636,6391.66,875.81,257.69,35.31,22.4,3.07,0,0
67-12,701.92,96.47,18.0994,6585.58,905.11,256.92,35.31,22.34,3.07,0,0
24-12,0,0,0,1718.23,120.51,296.28,20.78,0,0,0,0
96-10,1098.81,705.27,18.2099,9393.77,6029.38,593.66,381.04,36.22,23.25,134.43,0
46-11,169.88,14.67,13.8396,1966.28,169.8,405.3,35.0,17.6,1.52,0,0
46-10,175.99,14.84,14.0,2005.95,169.15,415.07,35.0,18.03,1.52,0,0
46-12,175.54,15.3,14.434,2033.02,177.2,401.56,35.0,18.59,1.62,0,0
20-02,0,0,0,1153.34,91.18,260.95,20.63,0,0,0,0
71-12,612.74,102.09,17.9105,5342.98,890.2,260.97,43.48,21.37,3.56,0,0
71-11,566.85,93.99,16.4895,5013.81,831.34,258.49,42.86,21.47,3.56,0,0
71-10,568.3,94.23,16.5316,5060.01,839.0,256.32,42.5,21.47,3.56,0,0
12-02,1479.03,1365.68,15.4244,14027.09,12952.07,1916.91,1770.0,115.97,107.08,22.53,0
20-07,0,0,0,1029.95,86.85,244.65,20.63,0,0,0,0
20-04,0,0,0,1136.6,93.54,250.68,20.63,0,0,0,0
20-05,0,0,0,1099.33,91.81,247.02,20.63,0,0,0,0
20-08,0,0,0,1046.93,86.16,250.68,20.63,0,0,0,0
20-09,0,0,0,1023.02,82.95,254.43,20.63,0,0,0,0
25-03,0,0,0,1664.62,116.75,295.85,20.75,0,0,0,0
01-02,1739.64,1239.94,27.2874,14724.88,10495.28,367.4,261.87,38.37,27.35,103.02000000000001,0
50-05,195.46,18.78,7.3937,2325.36,223.42,364.28,35.0,26.75,2.57,0,0
50-04,188.87,18.07,7.1142,2240.18,214.33,365.82,35.0,26.86,2.57,0,0
50-07,182.59,17.84,6.5588,2143.21,209.4,358.23,35.0,26.3,2.57,0,0
50-06,183.34,17.69,6.9646,2167.22,209.11,362.74,35.0,26.64,2.57,0,0
50-01,178.96,17.05,7.1941,2117.99,201.79,367.36,35.0,26.97,2.57,0,0
88-12,568.49,277.72,11.6935,4439.06,2168.57,857.53,418.92,35.04,17.12,190.89,0
50-03,180.72,17.29,7.2954,2153.63,206.05,365.82,35.0,26.86,2.57,0,0
50-02,180.74,17.22,7.2658,2135.31,203.44,367.36,35.0,26.97,2.57,0,0
50-09,196.62,19.45,7.1507,2288.27,226.36,353.82,35.0,25.98,2.57,0,0
50-08,186.98,18.42,6.7721,2201.45,216.87,355.29,35.0,26.09,2.57,0,0
61-01,511.35,61.78,19.9935,5365.15,648.2,292.26,35.31,24.58,2.97,0,0
61-03,538.5,65.06,21.055,5600.47,676.63,292.26,35.31,24.58,2.97,0,0
61-02,525.09,63.44,20.5307,5480.04,662.08,292.26,35.31,24.58,2.97,0,0
61-05,550.92,66.56,21.967,5766.75,696.72,292.26,35.31,24.58,2.97,0,0
61-04,540.57,65.31,21.5545,5617.68,678.71,292.26,35.31,24.58,2.97,0,0
61-07,548.9,66.76,21.8885,5799.55,705.37,290.32,35.31,24.42,2.97,0,0
61-06,535.03,64.64,21.3333,5661.14,683.96,292.26,35.31,24.58,2.97,0,0
61-09,548.65,66.73,21.8787,5765.35,701.21,290.32,35.31,24.42,2.97,0,0
61-08,561.58,68.07,22.318,5939.51,719.94,291.31,35.31,24.5,2.97,0,0
25-02,0,0,0,1753.04,122.24,297.58,20.75,0,0,0,0
20-01,0,0,0,1331.8,104.21,263.65,20.63,0,0,0,0
12-10,1505.36,1412.16,16.3237,13960.83,13096.46,1832.45,1719.0,91.92,86.23,21.139999999999997,0
70-01,554.76,85.02,15.1012,4854.99,744.06,238.55,36.56,21.86,3.35,0,0
12-12,1531.73,1426.19,16.4858,14073.85,13104.14,1780.16,1657.5,98.63,91.83,16.09,0
32-12,129.73,6.89,16.8049,1128.42,59.93,391.27,20.78,0,0,0,0
78-11,346.6,94.7,7.6805,2924.45,799.03,751.51,205.33,54.35,14.85,0,0
32-10,129.08,6.96,16.9756,1148.0,61.9,385.39,20.78,0,0,0,0
32-11,122.4,6.55,15.9756,1053.01,56.35,388.32,20.78,0,0,0,0
56-10,408.85,45.58,13.3666,4304.25,479.85,316.73,35.31,25.3,2.82,0,0
56-11,404.37,45.08,13.2199,4240.84,472.78,316.73,35.31,25.3,2.82,0,0
56-12,417.09,46.67,13.6862,4463.76,499.47,315.57,35.31,25.2,2.82,0,0
75-11,406.93,91.24,11.4623,3838.59,860.67,634.57,142.28,49.77,11.16,0,0
75-10,400.06,89.04,11.1859,3756.33,836.04,641.38,142.75,50.14,11.16,0,0
26-12,0,0,0,2190.74,157.2,288.75,20.72,0,0,0,0
82-08,301.76,119.51,8.8134,2275.81,901.31,922.91,365.51,85.72,33.95,0,0
80-01,361.89,114.16,7.4663,2776.44,875.85,2149.16,677.97,103.03,32.5,0,0
51-11,213.77,22.88,9.377,2441.05,261.27,327.01,35.0,24.01,2.57,0,0
51-10,215.98,22.94,9.4016,2470.03,262.35,329.53,35.0,24.2,2.57,0,0
82-04,302.63,116.44,8.2174,2204.89,848.36,911.37,350.66,86.94,33.45,0,0
51-12,221.25,23.77,9.7418,2505.99,269.23,325.78,35.0,23.92,2.57,0,0
82-02,294.88,113.11,7.6374,2149.18,824.39,974.16,373.67,82.28,31.56,0,0
82-03,292.22,111.96,7.5598,2147.43,822.77,860.02,329.51,74.33,28.48,0,0
82-01,314.97,120.4,8.1296,2278.8,871.1,1004.41,383.95,88.55,33.85,0,0
11-06,1443.46,1320.64,15.7463,13568.87,12414.34,1644.15,1504.25,104.16,95.3,16.020000000000003,0
78-10,342.42,93.15,7.5547,2913.05,792.45,836.77,227.63,54.59,14.85,0,0
92-01,730.08,408.78,25.2489,5756.99,3223.4,633.26,354.57,33.81,18.93,98.22,0
